"","tree_id","tree_dbh","curb_loc","health","sidewalk","root_stone","root_grate","trunk_wire","brch_light"
"132",25027,5,"1","1","0","0","0","0","0"
"133",24025,11,"1","1","0","1","0","0","0"
"134",325923,20,"1","1","0","0","0","0","0"
"135",325922,16,"1","1","0","0","0","0","0"
"136",325776,12,"1","1","0","0","0","0","0"
"137",325868,14,"1","1","1","0","0","0","0"
"138",326081,18,"1","1","1","0","0","0","0"
"139",325742,17,"1","1","1","0","0","0","0"
"140",325743,15,"1","1","1","0","0","0","0"
"141",325867,33,"0","1","0","0","0","0","0"
"142",325783,20,"1","1","0","0","0","0","0"
"143",325782,17,"1","1","0","0","0","0","0"
"144",325865,41,"0","1","0","0","0","0","0"
"145",325866,34,"0","1","0","0","0","0","0"
"146",325869,10,"1","1","0","0","0","0","0"
"147",363726,12,"1","1","0","0","0","0","0"
"148",363960,19,"1","1","0","0","0","0","0"
"149",363962,27,"1","1","0","0","0","0","0"
"150",363977,28,"1","1","0","0","0","0","0"
"151",363979,15,"1","1","0","0","0","0","0"
"152",363957,16,"1","1","1","0","0","0","0"
"153",363975,27,"1","1","0","0","0","0","0"
"154",363965,26,"1","1","0","0","0","0","0"
"155",363974,24,"1","1","0","0","0","0","0"
"156",363978,29,"1","1","0","0","0","0","0"
"157",363969,24,"1","1","0","0","0","0","0"
"158",341598,5,"0","1","0","0","0","0","0"
"159",363961,27,"1","1","0","0","0","0","0"
"160",363971,25,"1","1","0","0","0","0","0"
"161",363972,28,"1","1","0","0","0","0","0"
"162",341600,13,"1","1","0","0","0","0","0"
"163",363970,26,"1","1","0","0","0","0","0"
"164",363963,19,"1","1","0","0","0","0","0"
"165",363968,23,"1","1","0","0","0","0","0"
"166",363958,17,"1","1","1","0","0","0","0"
"167",363967,23,"1","1","0","0","0","0","0"
"168",363724,20,"1","1","0","0","0","0","0"
"169",363966,24,"1","1","0","0","0","0","0"
"170",363964,27,"1","1","0","0","0","0","0"
"171",363976,32,"1","1","0","0","0","0","0"
"172",363973,27,"1","1","0","0","0","0","0"
"173",363723,19,"1","1","0","0","0","0","0"
"174",363959,17,"1","1","1","0","0","0","0"
"175",363725,17,"1","1","0","0","0","0","0"
"176",341599,6,"0","1","0","0","0","0","0"
"177",341057,13,"1","1","1","0","0","0","0"
"178",341058,14,"1","1","1","0","0","0","0"
"179",341053,17,"1","1","1","0","0","0","0"
"180",363722,20,"0","1","0","0","0","0","0"
"181",341051,52,"1","1","1","0","0","0","0"
"182",341054,36,"1","1","1","0","0","0","0"
"183",341601,17,"1","1","1","0","0","0","0"
"184",341055,30,"1","1","1","0","0","0","0"
"185",341602,8,"1","1","0","0","0","0","0"
"186",341056,32,"1","1","1","0","0","0","0"
"187",341034,17,"1","1","1","1","0","0","1"
"188",341032,26,"1","1","1","1","0","0","1"
"189",341033,29,"1","1","1","1","0","0","1"
"190",341603,8,"1","1","0","0","0","0","0"
"191",363721,22,"0","1","0","0","0","0","0"
"192",341052,21,"1","1","0","0","0","0","0"
"193",341029,6,"1","1","0","0","0","0","0"
"194",341028,8,"1","1","0","0","0","0","0"
"195",341030,3,"1","1","0","0","0","0","0"
"196",341031,36,"1","1","0","0","0","0","0"
"197",42056,29,"1","1","0","0","0","0","0"
"198",42059,38,"1","1","0","0","0","0","0"
"199",42061,36,"1","1","0","0","0","0","0"
"200",42057,27,"1","1","0","0","0","0","0"
"201",42052,9,"1","1","0","0","0","0","0"
"202",42055,31,"1","1","0","0","0","0","0"
"203",42054,30,"1","1","0","0","0","0","0"
"204",42051,28,"1","1","0","0","0","0","0"
"205",42058,24,"1","1","0","0","0","0","0"
"206",42060,30,"1","1","0","0","0","0","0"
"207",42053,24,"1","1","0","0","0","0","0"
"208",150888,4,"1","1","0","0","0","1","0"
"209",302165,10,"1","1","0","0","0","0","0"
"210",302166,2,"1","1","0","0","0","0","0"
"211",302136,7,"0","1","0","0","0","0","0"
"212",302138,5,"0","1","0","0","0","0","0"
"213",302171,3,"1","1","0","0","0","0","0"
"214",302137,14,"0","1","1","0","0","0","0"
"215",360847,21,"1","1","1","0","0","0","0"
"216",360851,24,"1","1","0","0","0","0","0"
"217",360848,26,"1","1","1","0","0","0","0"
"218",360849,19,"0","1","0","0","0","0","0"
"219",360850,27,"1","1","0","0","0","0","0"
"220",360814,25,"1","1","0","0","0","0","0"
"221",361866,18,"1","1","0","0","0","0","0"
"222",363732,4,"1","1","0","0","0","0","0"
"223",361867,15,"1","1","0","0","0","0","0"
"224",363995,4,"1","1","0","0","0","0","0"
"225",361865,4,"0","1","0","0","0","0","0"
"226",360845,23,"0","1","0","0","0","0","0"
"227",360846,23,"0","1","0","0","0","0","0"
"228",363764,32,"1","1","1","0","0","0","0"
"229",361863,17,"1","1","0","0","0","0","0"
"230",361864,7,"0","1","0","0","0","0","0"
"231",363939,36,"1","1","0","0","0","0","0"
"232",363928,29,"1","1","1","0","0","0","0"
"233",363936,32,"1","1","1","0","0","0","0"
"234",363930,32,"1","1","0","0","0","0","0"
"235",360810,19,"1","1","1","0","0","0","0"
"236",360813,25,"1","1","1","0","0","0","0"
"237",363763,35,"1","1","0","0","0","0","0"
"238",363927,31,"1","1","1","0","0","0","0"
"239",363934,32,"1","1","0","0","0","0","0"
"240",363926,31,"1","1","1","0","0","0","0"
"241",363937,31,"1","1","1","0","0","0","0"
"242",363990,3,"1","1","0","0","0","0","0"
"243",363931,32,"1","1","0","0","0","0","0"
"244",363933,32,"1","1","1","0","0","0","0"
"245",363940,33,"1","1","0","0","0","0","0"
"246",363942,32,"1","1","0","0","0","0","0"
"247",363929,30,"1","1","1","0","0","0","0"
"248",364232,5,"1","1","0","0","0","0","0"
"249",363994,3,"1","1","0","0","0","0","0"
"250",360812,25,"0","1","0","0","0","0","0"
"251",363932,29,"1","1","0","0","0","0","0"
"252",363731,7,"1","1","0","0","0","0","0"
"253",362290,21,"0","1","0","0","0","0","0"
"254",360811,21,"1","1","1","0","0","0","0"
"255",363943,35,"1","1","1","0","0","0","0"
"256",363766,31,"1","1","0","0","0","0","0"
"257",360815,23,"1","1","1","0","0","0","0"
"258",363938,31,"1","1","0","0","0","0","0"
"259",363935,30,"1","1","1","0","0","0","0"
